customer_id,full_name,email,phone,city,loyalty_points,first_name,last_name
CUST1000,Arjun Sharma,ishita.shah834@gmail.com,5157281880.0,Surat,0,Arjun,Sharma
CUST1001,Arjun Sharma,ishita.kulkarni493@gmail.com,1790139012.0,Surat,138,Arjun,Sharma
CUST1002,Ishita Nair,kabir.kulkarni532@gmail.com,NA,Delhi,130,Ishita,Nair
CUST1003,Rohan Sharma,priya.shah127@gmail.com,NA,Ahmedabad,0,Rohan,Sharma
CUST1004,Anaya Patel,NA,5215387997.0,Bengaluru,101,Anaya,Patel
CUST1005,Suersh Das,ishita.kulkarni4@gmail.com,2687604277.0,Ahmedabad,90,Suersh,Das
CUST1006,Arjun Das,sneha.kapoor715@gmail.com,5483344728.0,Jaipur,114,Arjun,Das
CUST1007,Kabir Kulkarni,anaya.kapoor90@gmail.com,1187807991.0,Ahmedabad,187,Kabir,Kulkarni
CUST1008,Rohan Kulkarni,anita.kapoor786@gmail.com,8750596778.0,Bengaluru,98,Rohan,Kulkarni
CUST1009,Anaya Gupta,rahul.khan70@gmail.com,6965956274.0,Chennai,115,Anaya,Gupta
CUST1010,Sneha Singh,aarav.shah253@gmail.com,6660390792.0,Jaipur,0,Sneha,Singh
CUST1011,Aaarv Reddy,priya.sharma683@gmail.com,8619683897.0,Ahmedabad,31,Aaarv,Reddy
CUST1012,Sneha Nair,anita.reddy102@gmail.com,4430784858.0,Bengaluru,101,Sneha,Nair
CUST1013,Anita Khan,arjun.khan277@gmail.com,1565784015.0,Delhi,351,Anita,Khan
CUST1014,Priya Singh,suresh.kulkarni3@gmail.com,5083501890.0,Bengaluru,89,Priya,Singh
CUST1015,Diya Kulkarni,kabir.shah849@gmail.com,3027419741.0,Delhi,210,Diya,Kulkarni
CUST1016,Priya Gupta,ishita.kapoor996@gmail.com,5721397850.0,Mumbai,67,Priya,Gupta
CUST1017,Rahul Kahn,anita.gupta180@gmail.com,8598509533.0,Mumbai,52,Rahul,Kahn
CUST1018,Kabir Reddy,rohan.kulkarni643@gmail.com,2284507517.0,Chennai,92,Kabir,Reddy
CUST1019,Priya Patel,rohan.sharma728@gmail.com,7872935437.0,Mumbai,0,Priya,Patel
CUST1020,Arjun Das,anita.nair175@gmail.com,3359267932.0,Delhi,111,Arjun,Das
CUST1021,Rohan Patel,anita.sharma500@gmail.com,2536206888.0,Delhi,63,Rohan,Patel
CUST1022,Anita Patel,rohan.singh436@gmail.com,5166603127.0,Surat,133,Anita,Patel
CUST1023,Anita Khan,arjun.sharma67@gmail.com,4776092431.0,Bengaluru,0,Anita,Khan
CUST1024,Rahul Kapoor,suresh.singh711@gmail.com,3984196563.0,Surat,41,Rahul,Kapoor
CUST1025,Mira Nair,arjun.khan335@gmail.com,3429434835.0,Ahmedabad,70,Mira,Nair
CUST1026,Priya Gupta,suresh.kapoor414@gmail.com,6570181302.0,Jaipur,125,Priya,Gupta
CUST1027,Kabir Singh,aarav.khan529@gmail.com,NA,Pune,74,Kabir,Singh
CUST1028,Mira Kulkarni,anaya.shah460@gmail.com,5774323083.0,Surat,0,Mira,Kulkarni
CUST1029,Rohan Gupta,kabir.gupta442@gmail.com,1129948244.0,Hyderabad,137,Rohan,Gupta
CUST1030,Anaya Das,kabir.patel343@gmail.com,1676755253.0,Surat,353,Anaya,Das
CUST1031,Aarav Shah,arjun.kapoor213@gmail.com,8938193083.0,Pune,0,Aarav,Shah
CUST1032,Anaya Das,sneha.das972@gmail.com,4130141004.0,Kolkata,69,Anaya,Das
CUST1033,Kabir Singh,rohan.sharma795@gmail.com,9746784383.0,Delhi,54,Kabir,Singh
CUST1034,Rohan Kapoor,rohan.singh367@gmail.com,6160715011.0,Chennai,0,Rohan,Kapoor
CUST1035,Ishita Kulkarni,diya.patel644@gmail.com,1697836610.0,Mumbai,53,Ishita,Kulkarni
CUST1036,Suresh Shah,anaya.reddy63@gmail.com,6468750667.0,Mumbai,62,Suresh,Shah
CUST1037,Kabir Shah,anaya.gupta481@gmail.com,2626391672.0,Pune,75,Kabir,Shah
CUST1038,Ishita Patel,anaya.patel182@gmail.com,5364884024.0,Jaipur,70,Ishita,Patel
CUST1039,Mira Singh,rahul.khan464@gmail.com,NA,Pune,164,Mira,Singh
CUST1040,Rohan Kapoor,NA,4287020697.0,Pune,0,Rohan,Kapoor
